  0.221  1.0271   0.23
  0.441  1.0244   0.21
  0.662  1.0202   0.17
  0.882  1.0147   0.13
  1.103  1.0082   0.07
  1.323  1.0012   0.01
  1.543  0.9941  -0.05
  1.764  0.9873  -0.11
  1.985  0.9813  -0.16
  2.205  0.9766  -0.21
  2.426  0.9734  -0.23
  2.646  0.9721  -0.25
  2.867  0.9726  -0.24
  3.087  0.9752  -0.22
  3.308  0.9796  -0.18
  3.528  0.9856  -0.13
  3.749  0.9928  -0.06
  3.969  1.0007   0.01
  4.189  1.0088   0.08
  4.410  1.0163   0.14
  4.631  1.0225   0.19
  4.851  1.0266   0.23
  5.072  1.0280   0.24
  5.292  1.0259   0.22
  5.513  1.0198   0.17
  5.733  1.0090   0.08
  5.954  0.9931  -0.06
  6.174  0.9720  -0.25
  6.395  0.9455  -0.49
  6.615  0.9135  -0.78
  6.836  0.8765  -1.14
  7.056  0.8345  -1.57
  7.276  0.7883  -2.06
  7.497  0.7384  -2.63
  7.718  0.6855  -3.28
  7.938  0.6305  -4.00
  8.159  0.5741  -4.82
  8.379  0.5173  -5.72
  8.600  0.4609  -6.72
  8.820  0.4058  -7.83
  9.041  0.3527  -9.05
  9.261  0.3023 -10.38
  9.482  0.2552 -11.85
  9.702  0.2119 -13.47
  9.922  0.1726 -15.25
 10.143  0.1376 -17.21
 10.364  0.1071 -19.39
 10.584  0.0809 -21.82
 10.805  0.0590 -24.56
 11.025  0.0411 -27.70
 11.246  0.0270 -31.36
 11.466  0.0161 -35.83
 11.687  0.0082 -41.68
 11.907  0.0028 -51.03
 12.128 -0.0006  -1.#J
 12.348 -0.0023  -1.#J
 12.569 -0.0028  -1.#J
 12.789 -0.0025  -1.#J
 13.010 -0.0017  -1.#J
 13.230 -0.0006  -1.#J
 13.451  0.0005 -65.31
 13.671  0.0015 -56.30
 13.892  0.0023 -52.87
 14.112  0.0027 -51.35
 14.333  0.0028 -51.00
 14.553  0.0026 -51.64
 14.774  0.0021 -53.34
 14.994  0.0015 -56.56
 15.215  0.0007 -63.20
 15.435 -0.0001  -1.#J
 15.656 -0.0010  -1.#J
 15.876 -0.0017  -1.#J
 16.097 -0.0022  -1.#J
 16.317 -0.0026  -1.#J
 16.538 -0.0028  -1.#J
 16.758 -0.0027  -1.#J
 16.979 -0.0025  -1.#J
 17.199 -0.0021  -1.#J
 17.419 -0.0015  -1.#J
 17.640 -0.0008  -1.#J
 17.860 -0.0001  -1.#J
 18.081  0.0006 -63.80
 18.302  0.0013 -57.55
 18.522  0.0019 -54.36
 18.743  0.0024 -52.50
 18.963  0.0027 -51.45
 19.184  0.0028 -51.04
 19.404  0.0027 -51.19
 19.625  0.0025 -51.90
 19.845  0.0022 -53.29
 20.066  0.0017 -55.60
 20.286  0.0010 -59.54
 20.507  0.0004 -68.24
 20.727 -0.0003  -1.#J
 20.948 -0.0010  -1.#J
 21.168 -0.0016  -1.#J
 21.389 -0.0021  -1.#J
 21.609 -0.0025  -1.#J
 21.830 -0.0027  -1.#J
 22.050 -0.0028  -1.#J
